name,rarity,description,type
Mazera DeVille,Secret Rare,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by offering 1 face-up Warrior of Zera on your side of the field as a Tribute while Pandemonium is on the field. If Pandemonium is on your side of the field when you Special Summon this card successfully your opponent discards 3 random cards from his/her hand.,Monster
Makyura the Destructor,Super Rare,During the turn this card is sent to the Graveyard the owner of this card can activate Trap Card(s) from his/her hand.,Monster
Toon Masked Sorcerer,Common,This card cannot attack during the turn that it is Normal Summoned Flip Summoned or Special Summoned. When Toon World on the field is destroyed destroy this card. If Toon World is on your side of the field and your opponent does not control a Toon Monster this card can attack your opponents Life Points directly. When this card inflicts Battle Damage to your opponents Life Points draw 1 card from your Deck.,Monster
Toon Defense,Common,When your opponents Monster attacks a face-up Level 4 or lower Toon Monster on your side of the field you can make the attack a direct attack on your Life Points.,Trap
Ultimate Insect LV1,Rare,As long as this card remains face-up on your side of the field it is unaffected by any Spell Cards. During your Standby Phase send this face-up card to the Graveyard to Special Summon 1 Ultimate Insect LV3 from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned Special Summoned or flipped face-up.),Monster
Horus the Black Flame Dragon LV4,Rare,As long as this card remains face-up on your side of the field control of this card cannot switch. During the End Phase of a turn that this card destroyed a Monster as a result of battle send this card to the Graveyard to Special Summon 1 Horus the Black Flame Dragon LV6 from your hand or Deck.,Monster
Horus the Black Flame Dragon LV6,Super Rare,As long as this card remains face-up on your side of the field it is unaffected by any Spell Cards. During the End Phase of a turn that this card destroys a Monster as a result of battle send this card to the Graveyard to Special Summon 1 Horus the Black Flame Dragon LV8 from your hand or Deck.,Monster
Horus the Black Flame Dragon LV8,Ultra Rare,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of Horus the Black Flame Dragon LV6. As long as this card remains face-up on your side of the field you can negate the activation and effect of any Spell Cards and destroy them.,Monster
Dark Mimic LV1,Common,FLIP: Draw 1 card from your Deck. Also during your Standby Phase send this face-up card to the Graveyard to Special Summon 1 Dark Mimic LV3 from your hand or Deck.,Monster
Dark Mimic LV3,Rare,If this card is sent to the Graveyard as a result of battle the controller of this card draws 1 card from his/her Deck. If this card was Special Summoned by the effect of Dark Mimic LV1 he/she draws 2 cards instead.,Monster
Mystic Swordsman LV2,Rare,If this card attacks a face-down Defense Position Monster destroy the Monster immediately with this cards effect without flipping it face-up or applying damage calculation. During the End Phase of a turn that this card destroyed a Monster as a result of battle send this card to the Graveyard to Special Summon 1 Mystic Swordsman LV4 from your hand or Deck.,Monster
Mystic Swordsman LV4,Ultra Rare,If you Normal Summon this card you must place it in face-down Defense Position. If this card attacks a face-down Defense Position Monster destroy the Monster immediately with this cards effect without flipping it face-up or applying damage calculation. During the End Phase of a turn that this card destroyed a Monster as a result of battle send this card to the Graveyard to Special Summon 1 Mystic Swordsman LV6 from your hand or Deck.,Monster
Armed Dragon LV3,Common,During your Standby Phase send this face-up card to the graveyard to Special Summon 1 Armed Dragon LV5 from your hand or Deck.,Monster
Armed Dragon LV5,Rare,Send 1 Monster Card from your hand to the Graveyard to destroy 1 face-up Monster on your opponents side of the field with an ATK equal to or less than the ATK of the sent Monster. During the End Phase of a turn that this card destroyed a Monster as a result of battle send this card to the graveyard to Special Summon 1 Armed Dragon LV7 from your hand or Deck.,Monster
Armed Dragon LV7,Ultra Rare,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of Armed Dragon LV5. Send 1 Monster Card from your hand to the Graveyard to destroy all face-up Monsters on your opponents side of the field with an ATK equal to or less than the ATK of the sent Monster.,Monster
Horus Servant,Common,As long as this card remains face-up on your side of the field your opponent cannot designate Horus the Black Flame Dragon (of any LV) as the target of a Spell Trap or Monster Card.,Monster
Red-Eyes B. Chick,Common,Send this face-up card on your side of the field to the Graveyard to Special Summon 1 Red-Eyes B. Dragon from your hand.,Monster
Malice Doll of Demise,Common,If this card is sent from the field to the Graveyard by the effect of a Continuous Spell Card Special Summon this card from the Graveyard during the Standby Phase of your turn.,Monster
Ninja Grandmaster Sasuke,Rare,If this card attacks a face-up Defense Position Monster destroy the Monster with this cards effect without applying damage calculation.,Monster
Rafflesia Seduction,Rare,FLIP: Take control of 1 face-up Monster on your opponents side of the field until the end of the turn.,Monster
Ultimate Baseball Kid,Common,Increase the ATK of this card by 1000 points for each FIRE Monster on the field other than this card. Send a FIRE Monster other than this card to the Graveyard to inflict 500 points of damage to your opponents Life Points.,Monster
Mobius the Frost Monarch,Super Rare,When this card is Tribute Summoned successfully you can destroy up to 2 Spell or Trap Cards on the field.,Monster
Element Dragon,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field: 
? FIRE: Increase the ATK of this card by 500 points
? WIND: If this card destroyed your opponents Monster as a result of battle it can attack once again in a row.",Monster
Element Soldier,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field: 
? WATER: Control of this card cannot switch
? EARTH: Negate the effect of an Effect Monster that is destroyed by this Monster as a result of battle.",Monster
Howling Insect,Common,When this card is destroyed and sent to the Graveyard as a result of battle you can Special Summon 1 Insect-Type Monster with an ATK of 1500 or less to your side of the field from your Deck. Then shuffle your Deck.,Monster
Masked Dragon,Common,When this card is destroyed and sent to the Graveyard as a result of battle you can Special Summon 1 Dragon-Type Monster with an ATK of 1500 or less to your side of the field from your Deck. Then shuffle your Deck.,Monster
Mind on Air,Rare,As long as this card remains face-up on the field your opponent must continue to show his/her hand.,Monster
Unshaven Angler,Common,If you Tribute Summon a WATER Monster you can treat this 1 Monster as 2 Tribute Monsters for the Tribute Summon.,Monster
The Trojan Horse,Common,If you Tribute Summon an EARTH Monster you can treat this 1 Monster as 2 Tribute Monsters for the Tribute Summon.,Monster
Nobleman-Eater Bug,Common,FLIP: Destroy 2 Monsters on the field.,Monster
Enraged Muka Muka,Common,Increase the ATK and DEF of this card by 400 points for each card in your hand.,Monster
Hade-Hane,Common,FLIP: You can return up to 3 Monsters on the field to the owners hand.,Monster
Penumbral Soldier Lady,Super Rare,If this card battles with a LIGHT Monster increase the ATK of this card by 1000 points during the Damage Step.,Monster
Ojama King,Rare,"Ojama Green + Ojama Yellow + Ojama Black 
Select up to 3 of your opponents Monster Card Zones. As long as this card remains face-up on the field the selected zones cannot be used.",Monster
Master of Oz,Rare,Big Koala + Des Kangaroo,Monster
Sanwitch,Common,Sangan + Witch of the Black Forest,Monster
Dark Factory of Mass Production,Common,Select 2 Normal Monsters from your Graveyard and add them to your hand.,Spell
Hammer Shot,Rare,Destroy 1 face-up Attack Position Monster with the highest ATK on the field.,Spell
Mind Wipe,Common,You can only activate this card if your opponent has 3 or less cards in his/her hand. Your opponent adds his/her hand to the Deck and shuffles it then draws the same number of cards he/she added to the Deck.,Spell
Abyssal Designator,Common,Pay 1000 Life Points. Declare a Type and an AtTribute. Your opponent must send 1 Monster with both the Type and AtTribute declared from his/her hand or Deck to the Graveyard.,Spell
Level Up!,Common,Send 1 face-up Monster on your side of the field that has LV in its card name to the Graveyard to activate this card. Special Summon the Monster that is written in the card text of that Monster from your hand or Deck ignoring the Summoning conditions.,Spell
Inferno Fire Blast,Ultra Rare,Select 1 face-up Red-Eyes B. Dragon on your side of the field to activate this card. Inflict damage to your opponents Life Points equal to the original ATK of the selected Red-Eyes B. Dragon. Red-Eyes B. Dragon cannot attack during the turn you use this card.,Spell
Ectoplasmer,Super Rare,Only once during each players End Phase the turn player Tributes 1 face-up Monster on his/her side of the field and inflicts damage to the opponents Life Points equal to half of the original ATK of the Tributed Monster.,Spell
The Graveyard in the Fourth Dimension,Common,Add 2 Monsters in your Graveyard that have LV in their card name to your Deck and shuffle it.,Spell
Two-Man Cell Battle,Common,During each players End Phase the turn player can Special Summon 1 Level 4 Normal Monster from his/her hand.,Spell
Big Wave Small Wave,Common,Destroy all face-up WATER Monster on your side of the field. Then your can Special Summon WATER Monsters from your hand up to the same number of Monster destroyed by this effect.,Spell
Fusion Weapon,Common,This card can only be equipped to a Fusion Monster of Level 6 or less. Increase the ATK and DEF of the equipped Monster by 1500 points.,Spell
Ritual Weapon,Common,This card can only be equipped to a Ritual Monster of Level 6 or less. Increase the ATK and DEF of the equipped Monster by 1500 points.,Spell
Taunt,Common,During your opponents Main Phase 1 select 1 Monster on your side of the field to activate this card. As long as the selected card remains on the field if your opponent attacks with a Monster(s) this turn he/she must select the selected Monster as the attack target.,Trap
Absolute End,Common,You can only activate this card during your opponents turn. This turn the attacks from your opponents Monster become direct attacks to your Life Points.,Trap
Spirit Barrier,Rare,As long as a Monster(s) remain(s) on your side of the field battle damage to the controller of this card becomes 0.,Trap
Ninjitsu Art of Decoy,Common,Select 1 face-up Monster on your side of the field that includes Ninja in its card name to activate this card. As long as this card remains face-up on the field the selected Monster is not destroyed as a result of battle (damage calculation is applied normally).,Trap
Enervating Mist,Rare,Your opponents hand size limit becomes 5.,Trap
Heavy Slump,Common,You can only activate this card when your opponent has 8 or more cards in his/her hand. Your opponent adds his/her hand to the Deck shuffles it and draws 2 cards.,Trap
Greed,Super Rare,Each time a player draws cards because of a card effect he/she takes 500 points damage during the End Phase for each card drawn by the card effect.,Trap
Mind Crush,Common,Declare 1 card name. If your opponent has a declared card(s) in his/her hand discard all of the declared card(s) to the Graveyard. Otherwise you randomly discard 1 card from your hand.,Trap
Null and Void,Super Rare,You can only activate this card when an effect of drawing card(s) is activated. Both players see the cards drawn by the effect and send them all to the Graveyard.,Trap
Gorgons Eye,Common,Until the end of the End Phase all effects of Monster on the field in Defense Position are negated.,Trap
Cemetery Bomb,Common,Inflict 100 points of damage to your opponents Life Points for each card in his/her Graveyard.,Trap
Hallowed Life Barrier,Super Rare,Discard 1 card from your hand. During this turn any damage you take from your opponent becomes 0.,Trap
Woodborg Inpachi,Common,The new form of the enigmatic Inpachi remodeled by cutting-edge Dark World technology. Maneuverability has been sacrificed for strong armor which was considered more important.,Monster
Mighty Guard,Common,A machine soldier that was developed as a guard. It is made of rust-proof metal.,Monster
Bokoichi the Freightening Car,Common,A freight card that is exclusively for Dekoichi. It can transport anything but most cargo arrives broken.,Monster
Harpie Girl,Common,A Harpie chick who aspires to flit about beautifully and gorgeously but attack sharply.,Monster
The Creator,Ultra Rare,Select 1 Monster from your Graveyard. Send 1 card from your hand to the Graveyard and Special Summon the selected Monster. You can only use this effect once per turn. This card cannot be Special Summoned from the Graveyard.,Monster
The Creator Incarnate,Common,Tribute this card to Special Summon 1 The Creator from your hand.,Monster
Ultimate Insect LV3,Rare,If this card was Special Summoned by the effect of Ultimate Insect LV1 as long as this card remains on the field decrease the ATK of all your opponents Monsters by 300 points. During your Standby Phase send this face-up card to the Graveyard to Special Summon 1 Ultimate Insect LV5 from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned Special Summoned or flipped face-up.),Monster
Mystic Swordsman LV6,Ultra Rare,If you Normal Summon this card you must place it in face-down Defense Position. If this card attacks a face-down Defense position Monster destroy the Monster immediately with this cards effect without flipping it face-up or applying damage calculation. You can return the Monster destroyed with this effect to the top of your opponents Deck instead of sending it to the Graveyard.,Monster
Silent Swordsman LV3,Ultra Rare,Negate the effects of your opponents Spell Cards that designate this card. During your Standby Phase send this face-up card to the Graveyard to Special Summon 1 Silent Swordsman LV5 from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned Special Summoned or flipped face-up.),Monster
Nightmare Penguin,Common,When this card is flipped face-up return 1 card on your opponents side of the field to the owners hand. As long as this card remains face-up on the field increase the ATK of all WATER Monsters on your side of the field by 200 points.,Monster
Heavy Mech Support Platform,Common,Once per turn during your Main Phase if you control this Monster on the field you can equip it to a face-up Machine-Type Monster on your side of the field as an Equip Spell Card OR unequip the Union equipment and Special Summon this card in face-up Attack Position. When equipped to a Monster by this cards effect that Monsters ATK/DEF is increased by 500 points. (1 Monster can only be equipped with 1 Union Monster at a time. If the Monster that this card is equipped to is destroyed this card is destroyed instead.),Monster
Perfect Machine King,Ultra Rare,Increase the ATK of this card by 500 points for each Machine-Type Monster on the field other than this card.,Monster
Element Magician,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field:
? WATER: Control of this card cannot switch
? WIND: If this card destroyed your opponents Monster as a result of battle it can attack once again in a row.",Monster
Element Saurus,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field:
? FIRE: Increase the ATK of this card by 500 points
? EARTH: Negate the effect of an Effect Monster that is destroyed by this Monster as a result of battle.",Monster
Roc from the Valley of Haze,Common,When this card is sent directly from your hand to the Graveyard add this card to the Deck and shuffle it.,Monster
Sasuke Samurai #4,Rare,If this card battle a Monster toss a coin and call heads or tails before damage calculation. If you call it right destroy the opponents Monster with this effect.,Monster
Harpie Lady 1,Common,This cards name is treated as Harpie Lady. As long as this card remains on the field increase the ATK of all WIND Monsters by 300 points.,Monster
Harpie Lady 2,Common,This cards name is treated as Harpie Lady. Negate the effects of any Flip Effect Monsters that are destroyed by this Monster as a result of battle.,Monster
Harpie Lady 3,Common,This cards name is treated as Harpie Lady. Your opponents Monster that battle with this card cannot declare an attack for your opponents next 2 turns.,Monster
Raging Flame Sprite,Common,This card can attack your opponents Life Points directly. Each time this card successfully attacks directly increase the ATK of this card by 1000 points.,Monster
Thestalos the Firestorm Monarch,Super Rare,When this card is Tribute Summoned successfully randomly discard 1 card from your opponents hand to the Graveyard. If the discarded card was a Monster Card inflict damage to your opponents Life Points equal to the Level of the Monster X 100 points.,Monster
Eagle Eye,Common,When this card is Normal Summoned successfully no Trap Cards can be activated.,Monster
Tactical Espionage Expert,Common,When this card is Normal Summoned successfully no Trap Cards can be activated.,Monster
Invasion of Flames,Common,When this card is Normal Summoned successfully no Trap Cards can be activated.,Monster
Creeping Doom Manta,Common,When this card is Normal Summoned successfully no Trap Cards can be activated.,Monster
Pitch-Black Warwolf,Common,As long as this card remains face-up on your side of the field your opponent cannot activate Trap Cards during the Battle Phase.,Monster
Mirage Dragon,Common,As long as this card remains face-up on your side of the field your opponent cannot activate Trap Cards during the Battle Phase.,Monster
Gaia Soul the Combustible Collective,Rare,You can Tribute up to 2 Pyro-Type Monsters on your side of the field. If you do this increase the ATK of this Monster by the number of Tributed Monsters X 1000 points. When this card attacks with an ATK this is higher than the DEF of your opponents Defense Position Monster inflict the difference as Battle Damage to your opponents Life Points. Destroy this card during the End Phase.,Monster
Fox Fire,Common,During the End Phase of a turn when this face-up card was destroyed as a result of battle Special Summon this card from the Graveyard to your side of the field. This card cannot be Tributed for a Tribute Summon.,Monster
Big Core,Super Rare,Put 3 counters on this card when your Normal Summon it. This card is not destroyed as a result of battle. If this card battles a Monster remove 1 counter from this card at the end of the Damage Step. If this card battle without a counter destroy this card at the End of the Damage Step.,Monster
Fusilier Dragon the Dual-Mode Beast,Rare,This card can be Normal Summoned or Set without Tribute. In that case the original ATK/DEF of this card become halved.,Monster
Dekoichi the Battlechanted Locomotive,Rare,FLIP: Draw 1 card. If you have face-up Bokoichi the Freightening Car card(s) on your side of the field draw an additional card for each of them.,Monster
A-Team: Trap Disposal Unit,Rare,This effect can be used during either players turn. When your opponent activates a Trap Card Tribute this face-up card to negate the activateion of the Trap Card and destroy it.,Monster
Homunculus the Alchemic Being,Common,You can change the AtTribute of this Monster. This effect can only be used once per turn.,Monster
Dark Blade the Dragon Knight,Rare,"Dark Blade + Pitch-Dark Dragon 
Each time this card inflcts Battle Damage to your opponent you can select up to 3 Monster Cards from your opponents Graveyard and remove them from play.",Monster
Mokey Mokey King,Common,"Mokey Mokey + Mokey Mokey + Mokey Mokey
When this card is removed from the field you can Special Summon as many Mokey Mokey as possible from your Graveyard.",Monster
Serial Spell,Rare,You can only activate this card when you activate one of your Normal Spell Cards. Discard all the cards in your hand to the Graveyard. The effect of this card becomes the same as the Normal Spell Card.,Spell
Harpies Hunting Ground,Common,When Harpie Lady or Harpie Lady Sisters is Normal Summoned or Special Summoned to the field destroy 1 Spell or Trap Card on the field. Increase the ATK and DEF of all face-up Winged Beast-Type Monsters on the field by 200 points.,Spell
Triangle Ecstasy Spark,Super Rare,Until the End Phase of this turn the ATK of all Harpie Lady Sisters becomes 2700 your opponent cannot activate any Trap Cards and the effect of every Trap Card on your opponents side of the field is negated.,Spell
Necklace of Command,Rare,"When a Monster on your side of the field equipped with this card is destroyed as a result of battle and this card is sent to the Graveyard select and activate 1 of the following effects: 
? Draw 1 card from your Deck
 ? Randomly discard 1 card from your opponents hand to the Graveyard.",Spell
Machine Duplication,Rare,Select 1 Machine-Type Monster with an ATK of 500 or less on your side of the field and activate this card. You can Special Summon up to 2 cards with the same name from your Deck.,Spell
Flint,Rare,A Monster equipped with this card cannot change its Battle Position or attack and has its ATK decreased by 300 points. If the equipped Monster is destroyed select 1 Monster on the field and equipp this card to that Monster.,Spell
Mokey Mokey Smackdown,Common,While a face-up Mokey Mokey is on your side of the field if a Fairy-Type Monster on your side of the field is destroyed the ATK of all Mokey Mokey on your side of the field becomes 3000 until the End Phase of this turn.,Spell
Back to Square One,Common,Discard 1 card from your hand. Return 1 Monster on the field to the top of the owners Deck.,Spell
Monster Reincarnation,Super Rare,Discard 1 card from your hand. Add 1 Monster Card from your Graveyard to your hand.,Spell
Ballista of Rampart Smashing,Common,If a Monster equipped with this card attack a face-down Defense Position Monster increase the ATK of the quipped Monster by 1500 points.,Spell
Lighten the Load,Common,Add 1 Level 7 or higher Monster from your hand to your Deck and shuffle it then draw 1 card. You can onlu use this effect once per turn.,Spell
Malice Dispersion,Common,Discard 1 card from your hand. Destroy all face-up Continuous Trap Cards on the field.,Spell
Tragedy,Super Rare,You can only activate this card when a Monster on your opponents side of the field in face-up Attack Position is changed to face-up Defense Position. Destroy all Defense Position Monsters on your opponents side of the field.,Spell
Divine Wrath,Super Rare,Discard 1 card from your hand. Negate the activate and the effect of an Effect Monster and destroy the Monster.,Trap
Xing Zhen Hu,Common,Select 2 Set Spell or Trap Cards on the field and activate this card. As long as this card remains on the field the selected Spell or Trap Cards cannot be activated.,Trap
Rare Metalmorph,Rare,Increase the ATK of 1 Machine-Type Monster on the field by 500 points. Only once negate the effect of a Spell Card that designates the Monster. When the selected Monster is removed from the field destroy this card.,Trap
Fruits of Kozakys Studies,Common,Look at the top 3 cards of your Deck and return those cards to the top of the Deck in any order.,Trap
Mind Haxorz,Common,Pay 500 Life Points. Look at your opponents hand and all Set cards on his/her side of the field.,Trap
Fuh-Rin-Ka-Zan,Common,"You can only activate this card when there are at least 1 Monster each of WIND WATER FIRE AND EARTH AtTributes face-up on the field. Select and resolve 1 of the following effects: 
? Destroy all Monsters on your opponents side of the field
? Destroy all Spell and Trap Cards on your opponents side of the field
? Randomly discard 2 cards from your opponents hand
? Draw 2 cards.",Trap
Chain Burst,Rare,Inflict 1000 points of damage to each player who activates a Trap Card.,Trap
Pikerus Circle of Enchantment,Super Rare,Damage to the controller of this card from card effect becomes 0 until the End Phase of this turn.,Trap
Spell Purification,Common,Discard 1 card from your hand. Destroy all face-up Continuous Spell Cards on the field.,Trap
Astral Barrier,Common,If your opponents Monster attack a Monster on your side of the field you can make the attack a direct attack to your Life Points.,Trap
Covering Fire,Rare,If your opponents Monster attacks a Monster on your side of the field you can activate this card during the Damage Step. Increase the ATK of your attacked Monster by the ATK of 1 other face-up Monster on your side of the field during the Damage Step.,Trap
Space Mambo,Common,A Space Mambo floating in the cast universe. This living relic was found in the ruins of a super civilization on Alphard 4.,Monster
Divine Dragon Ragnarok,Common,A legendary dragon send by the gods as their instrument. Legends say that if provoked the whole worlds will sink beneath the sea.,Monster
Chu-Ske The Mouse Fighter,Common,A fiery mouse travelling the world to become the strongest fighter in the world of mice. Be careful not to touch him or you will get burned.,Monster
Insect Knight,Common,Of all Insect fighters he is the paragon of the Indestructible Insect Invaders which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.,Monster
Sacred Phoenix of Nephthys,Ultra Rare,If this card is destroyed by a card effect Special Summon this card during your next Standby Phase. If you Special Summon this card successfully in this way destroy all Spell and Trap Cards on the field.,Monster
Hand of Nephthys,Common,Tribute 2 Monsters on your side of the field including this card to Special Summon 1 Sacred Phoenix of Nephthys from your hand or Deck.,Monster
Ultimate Insect LV5,Rare,If this card was Special Summoned by the effect of Ultimate Insect LV3 as long as this card remains on the field decrease the ATK of all your opponents Monsters by 500 points. During your Standby Phase send this face-up card to the Graveyard to Special Summon 1 Ultimate Insect LV7 from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned Special Summoned or flipped face-up.),Monster
Silent Swordsman LV5,Ultra Rare,This card is unaffected by your opponents Spell Cards. If this card successfully attacks your opponents Life Points directly during your next Standby Phase send this face-up card to the Graveyard to Special Summon 1 Silent Swordsman LV7 from your hand or Deck.,Monster
Granmarg the Rock Monarch,Super Rare,When this card is Tribute Summoned successfully destroy 1 face-down card on the field.,Monster
Element Valkyrie,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field:
? FIRE: Increase the ATK of this card by 500 points
? WATER: Control of this card cannot switch.",Monster
Element Doom,Common,"This Monster gets the following effect(s) while there is a Monster(s) with the following AtTribute(s) on the field:
? EARTH: Negate the effect of an Effect Monster that is destroyed by this Monster as a result of battle
? WIND: If this card destroyed your opponents Monster as a result of battle it can attack once again in a row.",Monster
Maji-Gire Panda,Common,As long as this card remains face-up on the field each time a Beast-Type Monster(s) on the field is destroyed increase the ATK of this card by 500 points.,Monster
Catnipped Kitty,Common,This card cannot be attacked if there is another Beast-Type Monster on your side of the field. Make the DEF of 1 Monster on your opponents side of the field 0 until the End Phase. This effect can only be used once per turn.,Monster
Behemoth the King of All Animals,Super Rare,This card can be Normal Summoned or Set with 1 Tribute Monster. In that case the original ATK of this card becomes 2000. When this card is Tribute Summoned successfully you can return from your Graveyard to the owners hand a number of Beast-Type Monsters equal to the number of Tributed Monsters.,Monster
Big-Tusked Mammoth,Rare,As long as this card remains face-up on the field Monsters on your opponents side of the field cannot attack during the same turn that they are Normal Summoned Flip Summoned or Special Summoned.,Monster
Kangaroo Champ,Common,A Monster that battle with this card is changed to Defense Position after damage calculation.,Monster
Hyena,Common,When this card is sent to the Graveyard as a result of battle you can Special Summon any Hyena(s) from your Deck to the field. Then shuffle your Deck.,Monster
Blade Rabbit,Common,When this card is changed from Attack Position to face-up Defense Position destroy 1 Monster on your opponents side of the field.,Monster
Mecha-Dog Marron,Common,When this card on the field is destroyed and sent to the Graveyard as a result of battle inflict 1000 points of damage to both players Life Points. When this card on the field is destroyed and sent to the Graveyard except as a result of battle inflict 1000 points of damage to your opponents Life Points.,Monster
Blast Magician,Super Rare,Each time you or your opponent activates 1 Spell Card put 1 Spell Counter on this card. Remove any number of Spell Counters to destroy 1 face-up Monster on the field with an ATK equal to or less than 700 points X the number of removed Spell Counters.,Monster
Chiron the Mage,Rare,Discard 1 Spell Card from your hand. Destroy 1 Spell or Trap Card on your opponents side of the field. This effect can only be used once per turn.,Monster
Gearfried the Swordmaster,Ultra Rare,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of Release Restraint. When this card is equipped with an Equip Spell Card destroy 1 Monster on your opponents side of the field.,Monster
Armed Samurai - Ben Kei,Common,In addition to a normal attack this card can attack during the same Battle Phase as many times as the number of Equip Spell Cards equipped to this card.,Monster
Shadowslayer,Rare,If the only cards on your opponents Monster Card Zones are Defense Position Monsters this card can attack your opponents Life Points directly.,Monster
Golem Sentry,Common,You can flip this card into face-down Defense Position once per turn. When this card is Flip Summoned successfully return 1 Monster on your opponents side of the field to the owners hand.,Monster
Abare Ushioni,Common,Toss a coin and call it. If you call it right inflict 1000 points of damage to your opponents Life Points. If you call it wrong you take 1000 points of damage. Yu can only use this effect once per turn during your Main Phase.,Monster
The Light - Hex-Sealed Fusion,Common,You can substitute this card for any 1 Fusion-Material Monster. When you do this the other Fusion-Material Monster(s) must be the correct one(s). Tribute Fusion-Material Monsters on the field including this card to Special Summon 1 LIGHT Fusion Monster from your Fusion Deck.,Monster
The Dark - Hex-Sealed Fusion,Common,You can substitute this card for any 1 Fusion-Material Monster. When you do this the other Fusion-Material Monster(s) must be the correct one(s). Tribute Fusion-Material Monsters on the field including this card to Special Summon 1 DARK Fusion Monster from your Fusion Deck.,Monster
The Earth - Hex-Sealed Fusion,Common,You can substitute this card for any 1 Fusion-Material Monster. When you do this the other Fusion-Material Monster(s) must be the correct one(s). Tribute Fusion-Material Monsters on the field including this card to Special Summon 1 EARTH Fusion Monster from your Fusion Deck.,Monster
Whirlwind Prodigy,Common,If you Tribute Summon a WIND Monster you can treat this 1 Monster as 2 Tribute Monsters for the Tribute Summon.,Monster
Flame Ruler,Common,If you Tribute Summon a FIRE Monster you can treat this 1 Monster as 2 Tribute Monsters for the Tribute Summon.,Monster
Firebird,Common,As long as this card remains face-up on the field each time a Winged Beast-Type Monster(s) on your side of the field is destroyed increase the ATK of this card by 500 points.,Monster
Rescue Cat,Common,Send this face-up card on your side of the field to the Graveyard to Special Summon 2 Level 3 or lower Beast-Type Monsters from your Deck to the field. The Monster Special Summoned in this way are destroyed during the End Phase.,Monster
Brain Jacker,Rare,FLIP: Equip this card to a Monster on your opponents side of the field and treat it as an Equip Card. Take control of the Monster that is equipped with this card. Increase your opponents Life Points by 500 points during each of his/her Standby Phases.,Monster
Gatling Dragon,Ultra Rare,"Barrel Dragon + Blowback Dragon 
Toss a coin 3 times. Destroy a number of Monsters on the field equal to the number of Heads. This effect can only be used once per turn during your Main Phase.",Monster
King Dragun,Super Rare,"Lord of D. + Divine Dragon Ragnarok 
As long as this card remains face-up on the field your opponent cannot target Dragon-Type Monsters for the effect of a Spell Trap or Monster Card. Once per turn you can Special Summon 1 Dragon-Type Monster from your hand to your side of the field.",Monster
A Feather of the Phoenix,Super Rare,Discard 1 card from your hand. Select 1 card from your Graveyard and return to the top of your Deck.,Spell
Poison Fangs,Common,Each time a Beast-Type Monster inflicts Battle Damage to your opponents Life Points inflict 500 points of damage to your opponents Life Points.,Spell
Spell Absorption,Rare,Each time a Spell Card is activated increase the Life Points of this cards controller by 500 points.,Spell
Lightning Vortex,Super Rare,Discard 1 card from your hand. Destroy all face-up Monsters on your opponents side of the field.,Spell
Meteor of Destruction,Rare,Inflict 1000 points of damage to your opponents Life Points. You cannot activate this card if your opponents Life Points are 3000 or less.,Spell
Swords of Concealing Light,Rare,When you activate this card change all Monsters on your opponents side of the field to face-down Defense Position. As long as this card remains face-up on the field Monsters on your opponents side of the field cannot change their Battle Positions. Destroy this card during your 2nd Standby Phase after activation.,Spell
Spiral Spear Strike,Rare,When Gaia the Fierce Knight Swift Gaia the Fierce Knight or Gaia the Dragon Champion on your side of the field attacks a Defense Position Monster if the ATK of that card is higher the the DEF of the Defense Position Monster inflict the difference as Battle Damage to your opponents Life Points. If Gaia the Dragon Champion inflicts Battle Damage with this effect draw 2 cards from your Deck and discard 1 card from your hand.,Spell
Release Restraint,Common,Tribute 1 Gearfried the Iron Knight on your side of the field to Special Summon 1 Gearfried the Swordmaster from your hand or Deck.,Spell
Centrifugal Field,Common,When a Fusion Monster(s) is destroyed and sent to the Graveyard by a card effect the owner of that Fusion Monster selects 1 of the Fusion Material Monsters written in the card text of that Fusion Monster from his/her Graveyard and Special Summon it to the field.,Spell
Fulfillment of the Contract,Common,Pay 800 Life Points. Select 1 Ritual Monster from your Graveyard Special Summon it you your side of the field and equip it with this card. When this card is destroyed remove the equipped Monster from play.,Spell
Re-Fusion,Common,Pay 800 Life Points. Select 1 Fusion Monster from your Graveyard Special Summon it you your side of the field and equip it with this card. When this card is destroyed remove the equipped Monster from play.,Spell
The Big March of Animals,Common,Until the End Phase increase the ATK of all face-up Beast-Type Monsters on your side of the field by 200 points for each Beast-Type Monster on your side of the field.,Spell
