Card Name,Cost,Rarity,Description,Type,ImageID
Shifting Shadows,0,Common,"Pay 300 Life Points to rearrange the face-down Defense Position Monsters on your side of the field, then return them in face-down Defense Position. You can only use this effect once per turn.",Spell,
Impenetrable Formation,0,Common,"Select 1 Monster on your side of the field to activate this card. While you have 2 or more Monsters on your side of the field, and all Monsters on your side of the field are in Defense Position, increase the DEF of the selected Monster by 700 points. When the selected Monster is removed from the field, destroy this card.",Spell,
Hero Signal,0,Rare,"You can only activate this card when a Monster on your side of the field is destroyed and sent to the Graveyard as a result of battle. Special Summon 1 Level 4 or lower Monster from your hand or Deck that includes ""Elemental Hero"" in its card name.",Trap,
Pikerus Second Sight,0,Common,"Until your opponents second End Phase, your opponent shows you all cards that he/she draws and then add them to his/her hand.",Trap,
Minefield Eruption,0,Common,"Inflict 1000 points of damage to your opponents Life Points for each face-up ""Mine Golem"" on your side of the field. After that, destroy all face-up ""Mine Golem""(s) on your side of the field.",Trap,
Kozakys Self-Destruct Button,0,Rare,Inflict 1000 points of damage to the Life Points of the player who destroyed this Set card.,Trap,
Mispolymerization,0,Common,You can only activate this card when a Fusion Monster is Special Summoned. Return all face-up Fusion Monsters on the field to their respective Fusion Decks.,Trap,
Level Conversion Lab,0,Common,"Select 1 Monster in your hand and show it to your opponent, then roll a six-sided die. If  the result is 1, send the selected Monster to the Graveyard. If the result is 2-6, the Level of the selected Monster becomes equal to the result until the End Phase of this turn.",Trap,
Rock Bombardment,0,Common,Select 1 Rock-Type Monster in your Deck and send it to the Graveyard. Inflict 500 points of damage to your opponents Life Points. Then shuffle your Deck.,Trap,
Grave Lure,0,Common,"Turn the top card of your opponents Deck face-up and your opponent shuffles the Deck. When your opponent draws the face-p card, immediately send it to the Graveyard.",Trap,
Token Feastevil,0,Rare,"You can only activate this card when a Token(s) is Special Summoned. Destroy all Tokens on the field, and inflict 300 points of damage to your opponents Life Points for each destroyed Token.",Trap,
Spell-Stopping Statute,0,Rare,You can only activate this card when your opponent activates a Continuous Spell Card. Negate the activation and the effect of the card and destroy it.,Trap,
Royal Surrender,0,Rare,You can only activate this card when your opponent activates a Continuous Trap Card. Negate the activation and the effect of the card and destroy it.,Trap,
Lone Wolf,0,Common,"You can only activate this card if there is only 1 Monster on your side of the field and it is ""Chu-Ske the Mouse Fighter"", ""Monk Fighter"", or ""Master Monk"". That Monster is not destroyed as a result of battle, and is unaffected by any of your opponents Monster effects.",Trap,
Cycroid,0,Common,The most lovable and friendly of all the Vehicroids. It can arm itself with training wheels!,Monster,
Soitsu,0,Common,"Apparently totally unreliable, he wonders if he has incredible potential.",Monster,
Mad Lobster,0,Common,A gourmet food renowned by the Dark World upper crust. It has sensational flavor.,Monster,
Jerry Beans Man,0,Common,"Jerry, a bean soldier, believes he is the strongest warrior in the world, but his true abilities are still untested.",Monster,
Winged Kuriboh LV10,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summon except by the effect of ""Transcendent Wings"". Tribute this face-up card on your side of the field to destroy all face-up Attack Position Monsters on your opponents side of the field and inflict damage to your opponents Life Points equal to the combined original ATK of those destroyed Monster(s). You can only activate this effect during your opponents Battle Phase.",Monster,
Patroid,0,Common,"Pick up and look at 1 Set card on your opponents side of the field, then return it to its original position. You can only activate this effect once per turn, during your Main Phase.",Monster,
Gyroid,0,Common,"Once per turn, if this card would be destroyed as a result of battle, it is not destroyed. (Damage calculation is applied normally).",Monster,
Steamroid,0,Common,"If this card attack your opponents Monster, increase the ATK of this card by 500 points during the Damage Step only. If this card is attacked by your opponents Monster, decrease the ATK of this card by 500 points during the Damage Step only.",Monster,
Drillroid,0,Common,"If this card attacks a Defense Position Monster, destroy the Monster with this cards effect without applying damage calculation.",Monster,
UFOroid,0,Super Rare,"When this card is destroyed as a result of battle and sent to the Graveyard, you can Special Summon from your Deck 1 Machine-Type Monster with an ATK of 1500 or less in face-up Attack Position. Then shuffle your Deck.",Monster,
Jetroid,0,Common,"At the time this card is selected as an attack target by your opponents Monster, the controller of this card can activate Trap Card(s) from their hand.",Monster,
Wroughtweiler,0,Rare,"When this card is destroyed as a result of battle and sent to the Graveyard, add from your Graveyard to your hand 1 card that includes ""Elemental Hero"" in its card name, and 1 ""Polymerisation"".",Monster,
Dark Catapulter,0,Rare,"During your Standby Phase, if this card is in Defense Position, put 1 counter on this card. Remove from play a number of card(s) in your Graveyard equal to the number of counters on this card to destroy that same number of Spell or Trap Card(s) on the field. Then remove all counter(s) from this card.",Monster,
Elemental Hero Bubbleman,0,Rare,"If this is the only card in your hand, you can Special Summon this card from your hand. When this card is Normal Summoned, Flip Summoned or Special Summoned successfully, if there are no other cards on your side of the field and in your hand, you can draw 2 cards from your Deck.",Monster,
Cyber Dragon,0,Super Rare,"If there is a Monster on your opponents side of the field and there are no Monsters on your side of the field, you can Special Summon this card from your hand.",Monster,
Cybernetic Magician,0,Super Rare,Discard 1 card from your hand. The ATK of 1 face-up Monster on the field becomes 2000 until the End Phase of this turn.,Monster,
Cybernetic Cyclopean,0,Common,"While you have no cards in your hand, increase the ATK of this card by 1000 points.",Monster,
Mechanical Hound,0,Common,"While you have no cards in your hand, your opponent cannot activate Spell Cards.",Monster,
Cyber Archfiend,0,Common,"Archfiend Card
At the beginning of your Draw Phase, if your have no cards in your hand, draw 1 more card in addition to the normal draw. During your End Phase, if you have 1 or more card(s) in your hand, destroy this card.",Monster,
Goblin Elite Attack Force,0,Super Rare,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This cards battle position cannot be changed until the end of your next turn, except with a card effect.",Monster,
B.E.S. Crystal Core,0,Super Rare,"Put 3 counter on this card when you Normal Summon it. This card is not destroyed as a result of battle. If this card battle a Monster, remove 1 counter from this card at the end of the Damage Step. If this card battle without a counter, destroy this card at the end of the Damage Step. Once per turn, during your Main Phase, you can change 1 face-up Attack Position Monster on your opponents side of the field to face-up Defense Position.",Monster,
Giant Kozaky,0,Common,"If there is no face-up ""Kozaky"" on the field, destroy this card. If this face-up card on the field is destroyed, inflict damage to the current controllers Life Points equal to the original ATK of this card.",Monster,
Indomitable Fighter Lei Lei,0,Common,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This cards battle position cannot be changed until the end of your next turn, except with a card effect.",Monster,
Protective Soul Ailin,0,Common,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Indomitable Fighter Lei Lei"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, you can change the equipped Monsters battle position once per turn. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Doitsu,0,Common,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Soitsu"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the ATK of the equipped Monster by 2500 points. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Des Frog,0,Common,"When this card is Tribute Summoned successfully, you can Special Summon ""Des Frog""(s) from your hand or Deck up to the same number of ""T.A.D.P.O.L.E.""(s) in your Graveyard.",Monster,
T.A.D.P.O.L.E.,0,Common,"When this card on your side of the field is destroyed as a result of battle and sent to your Graveyard, you can add any ""T.A.D.P.O.L.E.""(s) from your Deck to you hand. Then shuffle your Deck.",Monster,
Poison Draw Frog,0,Common,"When this face-up card on the field is sent to the Graveyard (unless it was attacked while face-down and destroyed as a result of battle), you can draw 1 card from your Deck.",Monster,
Tyranno Infinity,0,Common,The original ATK of this card becomes the number of your Dinosaur-Type Monsters that are removed from play X 1000 points.,Monster,
Batteryman C,0,Common,"If all ""Batteryman C""(s) on your side of the field are in Attack Position, increase the ATK of all Machine-Type Monster on your side of the field by 500 points for each ""Batteryman C"" on your side of the field. If all ""Batteryman C""(s) on your side of the field are in Defense Position, increase the DEF of all Machine-Type Monster on your side of the field by 500 points for each ""Batteryman C"" on your side of the field.",Monster,
Ebon Magician Curran,0,Common,"During your Standby Phase, inflict 300 points of damage to your opponents Life Points for each Monster on your opponents side of the field.",Monster,
D.D.M. - Different Dimension Master,0,Rare,"Discard 1 Spell Card from your hand. Special Summon 1 of your Monsters that is currently removed from play. You can only activate this effect once per turn, during your Main Phase.",Monster,
Steam Gyroid,0,Common,"""Gyroid"" + ""Steamroid""",Monster,
UFOroid Fighter,0,Ultra Rare,"""UFOroid"" + 1 Warrior-Type Monster 
A Fusion Summon of this card can only be conducted with the above Fusion Material Monster. The original ATK and DEF of this card become equal to the combined original ATK of the 2 Fusion Material Monsters you used for the Fusion Summon of this card.",Monster,
Cyber Twin Dragon,0,Super Rare,"""Cyber Dragon"" + ""Cyber Dragon"" 
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. This card can attack twice during the same Battle Phase.",Monster,
Cyber End Dragon,0,Ultra Rare,"""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon"" 
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Power Bond,0,Ultra Rare,"Send, from your hand or your side of the field to the Graveyard, Fusion Material Monsters that are listed on a Machine-Type Fusion Monster Card, and Special Summon that Fusion Monster from your Fusion Deck. (This Special Summon is treated as a Fusion Summon). Increase the ATK of this Special Summoned Fusion Monster by an amount equal to its original ATK. During the End Phase of this turn, the player who activated this card takes damage equal to the original ATK of the Special Summoned Monster.",Spell,
Fusion Recovery,0,Common,"Add 1 ""Polymerisation"", and 1 Fusion Material Monster that was used far a Fusion Summon from your Graveyard to your hand.",Spell,
Miracle Fusion,0,Rare,"Remove from play, from your side of the field or your Graveyard, Fusion Material Monsters that are listed on Fusion Monster Card that includes ""Elemental Hero"" in its card name, and Special Summon that Fusion Monster from your Fusion Deck. (This Special Summon is treated as a Fusion Summon).",Spell,
Dragons Mirror,0,Common,"Remove from play, from your side of the field or your Graveyard, Fusion Material Monsters that are listed on a Dragon-Type Fusion Monster Card and Special Summon that Fusion Monster from your Fusion Deck. (This Special Summon is treated as a Fusion Summon).",Spell,
System Down,0,Rare,Pay 1000 Life Points. Remove from play all Machine-Type Monsters on your opponents side of the field and in their Graveyard.,Spell,
Des Croaking,0,Common,"You can only activate this card when there are 3 face-up ""Des Frog"" on your side of the field. Destroy all cards on your opponents side of the field.",Spell,
Pot of Generosity,0,Common,Return 2 cards from your hand to your Deck. Then shuffle your Deck.,Spell,
Shiens Spy,0,Common,"Select 1 face-up Monster on your side of the field to activate this card. Until the End Phase of this turn, shift control of the select Monster to your opponent.",Spell,
Transcendent Wings,0,Rare,"Send to the Graveyard 1 ""Winged Kuriboh"" from your side of the field and 2 cards from your hand. Special Summon 1 ""Winged Kuriboh LV10"" from your hand or Deck.",Spell,
Bubble Shuffle,0,Rare,"You can only activate this card when there is a face-up ""Elemental Gero Bubbleman"" on the field. Change 1 ""Elemental Hero Bubbleman"" in face-up Attack Position on your side of the field and 1 Monster in face-up Attack Position on your opponents side of the field to Defense Position. Tribute the ""Elemental Hero Bubbleman"" that was changed to Defense Position and Special Summon 1 Monster from your hand that includes ""Elemental Hero"" in its card name.",Spell,
Spark Blaster,0,Rare,"You can only equip this card to ""Elemental Hero Sparkman"". During the Main Phase of your turn, you can change the battle position of 1 face-up Monster. After you use this effect 3 times, destroy this card.",Spell,
Skyscraper,0,Super Rare,"When a Monster that includes ""Elemental Hero"" in its card name attack, if its ATK is lower than the ATK of the attack target, increase the ATK of the attacking Monster by 1000 points during damage calculation only.",Spell,
Fire Darts,0,Rare,"You can only activate this card when you have no cards in your hand. Roll a six-sided die 3 times, and inflict damage to your opponents Life Points equal to the total result of the die rolls X 200 points.",Trap,
Spiritual Earth Art - Kurogane,0,Common,"Tribute 1 EARTH Monster on your side of the field. Special Summon 1 Level 4 or lower EARTH Monster from your Graveyard, except the Tributed Monster.",Trap,
Spiritual Water Art - Aoi,0,Common,"Tribute 1 WATER Monster on your side of the field. Look at your opponents hand, select 1 card from it, and send that card to the Graveyard.",Trap,
Spiritual Fire Art - Kurenai,0,Common,Tribute 1 FIRE Monster on your side of the field. Inflict damage to your opponents Life Points equal to the original ATK of the Tributed Monster.,Trap,
Spiritual Wind Art - Miyabi,0,Common,"Tribute 1 WIND Monster on your side of the field. Select 1 card on your opponents side of the field, and return it to the bottom of the owners Deck.",Trap,
A Rival Appears!,0,Common,Select 1 face-up Monster on your opponents side of the field. Special Summon from your hand 1 Monster that has the same Level as the selected Monster.,Trap,
Magical Explosion,0,Rare,You can only activate this card when you have no cards in your hand. Inflict 200 points of damage to your opponents Life Points for each Spell Card in your Graveyard.,Trap,
Rising Energy,0,Rare,Discard 1 card from your hand. Increase the ATK of 1 face-up Monster on the field by 1500 points until the End Phase of this turn.,Trap,
D.D. Trap Hole,0,Rare,You can only activate this card when your opponent Sets 1 Monster in Defense Position. Destroy and remove from play the Set Monster and 1 Monster on your side of the field.,Trap,
Conscription,0,Common,"Pick up the top card of your opponents Deck. If the picked-up card can be Normal Summoned, Special Summon it to your side of the field. If not, add that card to your opponents hand.",Trap,
Dimension Wall,0,Rare,"You can only activate this card when your opponent declares an attack with a Monster. Instead of you, your opponent takes the Battle Damage you would have taken as a result of this battle.",Trap,
Prepare to Strike Back,0,Common,"Each time your opponent declares an attack on a face-up Defense Position Monster, toss a coin and call it. If you call it right, change the targeted face-up Defense Position Monster to Attack Position. If you call it wrong, the controller of this card takes damage equal to the difference between the ATK of the attacking Monster and the DEF of the attacked Monster.",Trap,
"Zure, Knight of Dark World",0,Common,The name of this illustrious knight is known by all residents of Dark World. He never oppresses the commoners.,Monster,
V-Tiger Jet,0,Common,This ace fighter is unbeatable in a dogfight. It combines with other Monsters to launch an array of encircling attacks.,Monster,
Blade Skater,0,Common,"An image of beauty on the ice, this gorgeous warrior rips her opponents into pieces with her stylish Accel Slicer attack.",Monster,
Queens Knight,0,Rare,"This knight catches her opponents off guard, dominating them with swift yet graceful attacks.",Monster,
Jacks Knight,0,Rare,"A strong master swordsman. His loyalty is to justice, his duty to protect the weak.",Monster,
Kings Knight,0,Rare,"While ""Queens Knight"" is on your side of the field, when this card is Normal Summoned, you can Special Summon 1 ""Jacks Knight"" from your Deck.",Monster,
Elemental Hero Bladedge,0,Super Rare,"During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Elemental Hero Wildheart,0,Common,This card is unaffected by the effects of Trap Cards.,Monster,
Reborn Zombie,0,Common,"While you have no cards in your hand, this card is not destroyed as a result of battle while in Attack Position. (Damage calculation is applied normally.)",Monster,
Chthonian Soldier,0,Rare,"When this card is destroyed by your opponents attacking Monster and sent to the Graveyard, inflict the Battle Damage you took from this battle to your opponents Life Points as well.",Monster,
W-Wing Catapult,0,Common,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""V-Tiger Jet"" as an Equip Card, OR unequip the Union equipment and Special Summoned this card in face-up Attack Position. While equipped to a Monster by this cards effect, increase the At and DEF of the equipped Monster by 400 points. (1 Monster can only be equipped with 1 Union Monster at a time. If the equipped Monster is destroyed as a result of battle, destroy this card instead.)",Monster,
Infernal Incinerator,0,Common,"This card can only be Normal Summoned or Set by discarding all card(s) in your hand to the Graveyard except this card, as well as Tributing 1 card with ATK 2000 or higher from your side of the field. Increase the ATK of this Monster by 200 points for each Monster on your opponents side of the field. Decrease the ATK of this card by 500 points for each Monster on your side of the field, except this card.",Monster,
Hydrogeddon,0,Common,"When this card destroys an opponents Monster as a result of battle, and sends it to the Graveyard, you can Special Summon 1 ""Hydrogeddon"" from your Deck.",Monster,
Oxygeddon,0,Common,"When this card is destroyed as a result of battle with a Pyro-Type Monster and sent to the Graveyard, inflict 800 points of damage to both players Life Points.",Monster,
Water Dragon,0,Super Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Bonding - H2O"". While this card is face-up on the field, the ATK of FIRE Monsters and Pyro-Type Monsters become 0. When this card is destroyed and sent to the Graveyard, you can Special Summon 2 ""Hyrogeddon""s and 1 ""Oxygeddon"" from your Graveyard.",Monster,
Etoile Cyber,0,Common,"If this card attacks your opponents Life Points directly, increase the ATK of this card by 500 points during the Damage Step only.",Monster,
B.E.S. Tetran,0,Super Rare,"Put 3 counter on this card when you Normal Summon it. This card is not destroyed as a result of battle. If this card battles a Monster, remove 1 counter from this card at the end of the Damage Step. If this card battles without a counter, destroy this card at the end of the Damage Step. Also, by removing 1 counter on this card, destroy 1 Spell or Trap Card on the field. You can only use this effect once per turn.",Monster,
Nanobreaker,0,Common,"If this card attacks a face-up Level 3 or lower Monster, destroy the Monster with this cards effect without applying damage calculation.",Monster,
Rapid-Fire Magician,0,Rare,"While this card is face-up on the field, inflict 400 points of damage to your opponents Life Points each time you activate 1 Normal Spell Card.",Monster,
"Beiige, Vanguard of Dark World",0,Common,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field.",Monster,
"Broww, Huntsman of Dark World",0,Rare,"If this card is discarded from the hand to the Graveyard by a card effect, draw 1 card from your Deck. If this card is discarded from the hand to the Graveyard by your opponents card effect, draw 1 more card from your Deck.",Monster,
"Brron, Mad King of Dark World",0,Rare,"When this card inflicts Battle Damage to your opponents Life Points, you can select 1 card in your hand and discard it to the Graveyard.",Monster,
"Sillva, Warlord of Dark World",0,Rare,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field. If this card is discarded from the hand to the Graveyard by your opponents card effect, your opponent selects 2 cards in their hand, and returns them to the bottom of their Deck in any order.",Monster,
"Goldd, Wu-Lord of Dark World",0,Super Rare,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field. If this card is discarded from the hand to the Graveyard by your opponents card effect, you can select up to 2 cards on your opponents side of the field and destroy them.",Monster,
"Scarr, Scout of Dark World",0,Common,"When this card is destroyed as a result of battle and sent to the Graveyard, add 1 Level 4 or lower Monster that includes ""Dark World"" in its card name from your Deck to your hand.",Monster,
Familiar-Possessed - Aussa,0,Common,"By sending 1 ""Aussa the Earth Charmer"" and 1 EARTH Monster from your side of the field to the Graveyard, you can Special Summon this card from your hand or Deck. If you Special Summon this card in this way, this card gets the following effect: During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Familiar-Possessed - Eria,0,Common,"By sending 1 ""Eria the Water Charmer"" and 1 WATER Monster from your side of the field to the Graveyard, you can Special Summon this card from your hand or Deck. If you Special Summon this card in this way, this card gets the following effect: During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Familiar-Possessed - Hiita,0,Common,"By sending 1 ""Hiita the Fire Charmer"" and 1 FIRE Monster from your side of the field to the Graveyard, you can Special Summon this card from your hand or Deck. If you Special Summon this card in this way, this card gets the following effect: During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
Familiar-Possessed - Wynn,0,Common,"By sending 1 ""Wynn the Wind Charmer"" and 1 WIND Monster from your side of the field to the Graveyard, you can Special Summon this card from your hand or Deck. If you Special Summon this card in this way, this card gets the following effect: During battle between this attacking card and a Defense Position Monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponents Life Points.",Monster,
VW-Tiger Catapult,0,Common,"""V-Tiger Jet"" + ""W-Wing Catapult"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above cards on your side of the field. (You do not use ""Polymerisation""). By discarding 1 card from your hand, change the battle position of 1 Monster on your opponents side of the field. (Flip Effect are not activated at this time.)",Monster,
VWXYZ-Dragon Catapult Cannon,0,Super Rare,"""VW-Tiger Catapult"" + ""XYZ-Dragon Cannon"" 
This card can only be Special Summoned from your Fusion Deck by removing from play the above cards on your side of the field. (You do not use ""Polymerisation""). Once Per turn, remove from play 1 card on your opponents side of the field. When this card attacks, you can change the battle position of the attack-target Monster. (Flip Effects are not activate at this time.)",Monster,
Cyber Blader,0,Super Rare,"""Etoile Cyber"" + ""Blader Skater"" 
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. While your opponent controls only 1 Monster, this card is not destroyed as a result of battle. While your opponent controls only 2 Monsters, double the ATK of this card. While your opponent controls only 3 Monsters, this card negates the effects of your opponents Spell, Trap, and Effect Monster Cards.",Monster,
Elemental Hero Rampart Blaster,0,Ultra Rare,"""Elemental Hero Clayman"" + ""Elemental Hero Burstinatrix"" 
This Monster cannot be Special Summoned except by Fusion Summon. While this card is in face-up Defense Position, this card can attack your opponents Life Points directly. In that case, apply half the ATK of this card for damage calculation.",Monster,
Elemental Hero Tempest,0,Ultra Rare,"""Elemental Hero Avian"" + ""Elemental Hero Sparkman"" + ""Elemental Hero Bubbleman"" 
This Monster cannot be Special Summoned except by Fusion Summon. By sending 1 card (except this card) from your side of the field to the Graveyard, select 1 Monster on your side of the field. While this card is face-up on the field, the selected Monster is not destroyed as a result of battle. (Damage calculation is applied normally.)",Monster,
Elemental Hero Wildedge,0,Ultra Rare,"""Elemental Hero Wildheart"" + ""Elemental Hero Bladedge"" 
This Monster cannot be Special Summoned except by Fusion Summon. This card can attack all Monsters on your opponents side of the field once each.",Monster,
Elemental Hero Shining Flare Wingman,0,Ultra Rare,"""Elemental Hero Flame Wingman"" + ""Elemental Hero Sparkman"" 
This Monster cannot be Special Summoned except by Fusion Summon. Increase the ATK of this card by 300 points for each card in your Graveyard that includes ""Elemental Hero"" in its card name. When this card destroys a Monster as a result of battle and sends it to the Graveyard, inflict damage to your opponents Life Points equal to the ATK of the destroyed Monster.",Monster,
Pot of Avarice,0,Super Rare,"Select 5 Monster Cards from your Graveyard, then add them to your Deck and shuffle it. After that, draw 2 cards from your Deck.",Spell,
Dark World Lightning,0,Common,"Select 1 face-down card on the field and destroy it, and, after that, select 1 card from your hand and discard it to the Graveyard.",Spell,
Level Modulation,0,Common,"Your opponent draws 2 cards. Special Summon 1 Monster from your Graveyard that includes ""LV"" in its card name, ignoring the Summoning conditions. The Monster that was Special Summoned by this effect cannot attack, nor activate or apply its effects this turn.",Spell,
Ojamagic,0,Common,"When this card is sent from the hand or the field to the Graveyard, add 1 each of ""Ojama Green"", ""Ojama Yellow"", and ""Ojama Black"" from your Deck to your hand.",Spell,
Ojamuscle,0,Common,"Select 1 face-up ""Ojama King"" on the field. Destroy all Monster(s) on the field that include ""Ojama"" in their card name, except the selected ""Ojama King"". Increase the ATK of the selected ""Ojama King"" by 1000 points for each destroyed Monster.",Spell,
Feather Shot,0,Rare,"Select 1 face-up ""Elemental Hero Avian"" on your side of the field to activate this card. This turn, the selected card can attack as many times as the number of Monster(s) on your side of the field when this card resolves. In that case, it cannot attack your opponents Life Points directly, and your other Monster(s) cannot attack.",Spell,
Bonding - H2O,0,Common,"Tribute 2 ""Hydrogeddon""s and 1 ""Oxygeddon"" on your side of the field. Special Summon 1 ""ragon"" from your hand, Deck, or Graveyard.",Spell,
Chthonian Alliance,0,Rare,Increase the ATK of the equipped Monster by 800 points for each other face-up Monster on the field with the same name as the equipped Monster.,Spell,
Armed Changer,0,Rare,"Send 1 Equip Spell Card from your hand to the Graveyard to activate this card. If the equipped Monster destroys a Monster as a result of battle, the controller of this Equip Card can add 1 Monster with ATK equal to or less than the equipped Monster from their Graveyard to their hand.",Spell,
Branch!,0,Common,"When a Fusion Monster on the field is destroyed and sent to the Graveyard, you can Special Summon from your Graveyard 1 of the Fusion Material Monsters than you used for the Fusion Summon of that Fusion Monster.",Spell,
Boss Rush,0,Common,"The controller of this card cannot Normal Summon or Set. During the End Phase of the turn that a Monster on your side of the field that includes ""B.E.S."" in its card name, or is named ""Big Core"", is destroyed and sent to the Graveyard, you can Special Summon from your Deck 1 Monster that includes ""B.E.S."" in its card name, or is named ""Big Core"".",Spell,
Gateway to Dark World,0,Common,"If you activate this card, you cannot Normal Summon, Flip Summon or Special Summon during the turn this card is activate. Special Summon from your Graveyard 1 Monster that includes ""Dark World"" in its card name.",Spell,
Hero Barrier,0,Rare,"If there is a face-up Monster on your side of the field that includes ""Elemental Hero"" in its card name, negate 1 attack from your opponents Monster.",Trap,
Chthonian Blast,0,Rare,"You can only activate this card when a face-up Monster on your side of the field is destroyed and sent to the Graveyard. Destroy 1 face-up Monster with the lowest ATK on the field, and both players take damage equal to half its ATK.",Trap,
The Forces of Darkness,0,Common,"Return 2 Monsters from your Graveyard to your hand that include ""Dark World"" in their card names.",Trap,
Dark Deal,0,Common,"You can only activate this card by paying 1000 Life Points when your opponent activate a Normal Spell Card. The effect of the Normal Spell Card that your opponent activate at that time becomes ""Your opponent discards 1 random card from their hand"".",Trap,
Simultaneous Loss,0,Common,Each player sends the top card from their Deck to the Graveyard.,Trap,
Weed Out,0,Common,Pay 500 Life Points. Destroy all Level 3 Monsters in face-up Attack Position on the field.,Trap,
The League of Uniform Nomenclature,0,Common,Select 1 face-up Level 2 or lower Normal Monster on your side of the field to activate this card. Special Summon from your Deck to your side of the field as many cards as possible with the same name as the selected Monster.,Trap,
Roll Out!,0,Common,Select 1 Union Monster in your Graveyard and equip it to an appropriate Monster on your side of the field.,Trap,
Chthonian Polymer,0,Common,You can only activate this card when your opponent Fusion Summons a Fusion Monster. Tribute 1 Monster on your side of the field to take control of that Fusion Monster.,Trap,
Feather Wind,0,Common,"You can only activate this card if there is a face-up ""Elemental Hero Avian"" on your side of the field. Negate the activation of a Spell or Trap Card and destroy it.",Trap,
Non-Fusion Area,0,Common,Neither player can Fusion Summon.,Trap,
Level Limit - Area A,0,Rare,All face-up Level 3 or lower Monsters on the field are changed to Attack Position and remain in Attack Position while this card is active.,Trap,
"Uria, Lord of Searing Flames ",0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 face-up Trap Cards from your side of the field to the Graveyard. Increase the ATK of this card by 1000 points for each Continuous Trap Card in your Graveyard. Once per turn, you can destroy 1 Set Spell or Trap Card on your opponents side of the field. Spell and Trap Cards cannot be activate in response to this effects activation.",Monster,
"Hamon, Lord of Striking Thunder ",0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 face-up Continuous Spell Cards from your side of the field to the Graveyard. When this card destroys your opponents Monster as a result of battle and sends it to the Graveyard, inflict 1000 points of damage to your opponents Life Points. While this card is in face-up Defense Position on your side of the field, your opponent cannot select another Monster as an attack target.",Monster,
"Raviel, Lord of Phantasms ",0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 3 Fiend-Type Monsters on your side of the field. Each time your opponent Normal Summons a Monster(s), Special Summon 1 ""Phantasm Token"" (Fiend-Type/DARK/Level 1/ATK 1000/DEF 1000) on your side of the field. This token cannot declare an attack. Once per turn, by Tributing 1 Monster on your side of the field, increase the ATK of this card by the original ATK of the Tributed Monster, until the End Phase of this turn.",Monster,
Elemental Hero Neo Bubbleman,0,Common,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending ""Elemental Hero Bubbleman"" on your side of the field and ""Metamorphosis"" in your hand to the Graveyard. This cards name is treated as ""Elemental Hero Bubbleman"" while it is face-up on the field. Destroy an opponents Monster that battles this card at the end of the Damage Step.",Monster,
Hero Kid,0,Common,"When this card is Special Summoned, you can Special Summon any number of ""Hero Kid""(s) from your Deck.",Monster,
Cyber Barrier Dragon ,0,Super Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Attack Reflector Unit"". Once per turn, while this card is in Attack Position, negate you opponents first attack.",Monster,
